,value.AgeGroup,value.Subject,value.StudyNo,value.PrimeInstruction,value.totalitems,value.correctitems,value.wrongitems,value.targetacc,value.rtrials,value.ptrials,value.btrials,value.utrials,value.rcorrecttrials,value.pcorrecttrials,value.bcorrecttrials,value.ucorrecttrials,value.racc,value.pacc,value.bacc,value.uacc,value.rmcq,value.pmcq,value.bmcq,value.umcq,value.r_know,value.r_dontknow,value.r_other,value.r_TOT,value.p_know,value.p_dontknow,value.p_other,value.p_TOT,value.b_know,value.b_dontknow,value.b_other,value.b_TOT,value.u_know,value.u_dontknow,value.u_other,value.u_TOT,value.correct_r,value.correct_p,value.correct_b,value.correct_u,value.wrong_r,value.wrong_p,value.wrong_b,value.wrong_u,value.wrong_r_r,value.wrong_r_p,value.wrong_r_b,value.wrong_r_u,value.wrong_r_x,value.wrong_p_r,value.wrong_p_p,value.wrong_p_b,value.wrong_p_u,value.wrong_p_x,value.wrong_b_r,value.wrong_b_p,value.wrong_b_b,value.wrong_b_u,value.wrong_b_x,value.wrong_u_r,value.wrong_u_p,value.wrong_u_b,value.wrong_u_u,value.wrong_u_x,value.prop_r_r,value.prop_r_p,value.prop_r_b,value.prop_r_u,value.prop_r_x,value.prop_p_r,value.prop_p_p,value.prop_p_b,value.prop_p_u,value.prop_p_x,value.prop_b_r,value.prop_b_p,value.prop_b_b,value.prop_b_u,value.prop_b_x,value.prop_u_r,value.prop_u_p,value.prop_u_b,value.prop_u_u,value.prop_u_x,value.know,value.dontknow,value.other,value.TOT,visible
109,Old,113,4,NoInstruction,100,14,86,0.14,25,25,25,25,2,6,2,4,0.08,0.24,0.08,0.16,0.64,0.64,0.56,0.68,2,19,0,4,6,16,0,3,3,17,0,5,5,16,0,4,16,16,14,17,9,9,11,8,3,0,1,0,5,4,0,1,0,4,2,0,7,0,2,1,0,3,1,3,0.333333333,0,0.111111111,0,0.555555556,0.444444444,0,0.111111111,0,0.444444444,0.181818182,0,0.636363636,0,0.181818182,0.125,0,0.375,0.125,0.375,16,68,0,16,FALSE
118,Old,114,4,NoInstruction,100,9,91,0.09,25,25,25,25,2,5,1,1,0.08,0.2,0.04,0.04,0.36,0.48,0.36,0.48,14,11,0,0,17,7,1,0,16,9,0,0,9,14,1,1,9,12,9,12,16,13,16,13,10,0,4,0,2,6,0,7,0,0,9,0,4,0,3,8,0,3,1,1,0.625,0,0.25,0,0.125,0.461538462,0,0.538461538,0,0,0.5625,0,0.25,0,0.1875,0.615384615,0,0.230769231,0.076923077,0.076923077,56,41,2,1,FALSE
127,Old,115,4,NoInstruction,100,6,94,0.06,25,25,25,25,1,2,3,0,0.04,0.08,0.12,0,0.36,0.6,0.32,0.4,9,16,0,0,11,12,1,1,8,17,0,0,7,18,0,0,9,15,8,10,16,10,17,15,12,1,3,0,0,5,0,5,0,0,9,0,7,0,1,8,0,5,2,0,0.75,0.0625,0.1875,0,0,0.5,0,0.5,0,0,0.529411765,0,0.411764706,0,0.058823529,0.533333333,0,0.333333333,0.133333333,0,35,63,1,1,FALSE
136,Old,116,4,NoInstruction,100,17,83,0.17,25,25,25,25,1,5,7,4,0.04,0.2,0.28,0.16,0.64,0.88,0.68,0.8,4,21,0,0,6,19,0,0,13,12,0,0,5,20,0,0,16,22,17,20,9,3,8,5,7,0,2,0,0,1,0,2,0,0,3,0,5,0,0,4,0,1,0,0,0.777777778,0,0.222222222,0,0,0.333333333,0,0.666666667,0,0,0.375,0,0.625,0,0,0.8,0,0.2,0,0,28,72,0,0,FALSE
110,Old,117,4,NoInstruction,100,12,88,0.12,25,25,25,25,0,7,3,2,0,0.28,0.12,0.08,0.52,0.52,0.56,0.68,10,14,1,0,8,16,1,0,10,15,0,0,4,20,1,0,13,13,14,17,12,12,11,8,11,0,0,0,1,2,4,5,0,1,4,0,7,0,0,3,0,3,1,1,0.916666667,0,0,0,0.083333333,0.166666667,0.333333333,0.416666667,0,0.083333333,0.363636364,0,0.636363636,0,0,0.375,0,0.375,0.125,0.125,32,65,3,0,FALSE
119,Old,118,4,NoInstruction,100,11,89,0.11,25,25,25,25,4,5,1,1,0.16,0.2,0.04,0.04,0.48,0.4,0.4,0.44,13,6,6,0,7,13,5,0,6,12,7,0,7,12,5,1,12,10,10,11,13,15,15,14,5,0,8,0,0,6,2,6,0,1,8,1,6,0,0,5,2,5,2,0,0.384615385,0,0.615384615,0,0,0.4,0.133333333,0.4,0,0.066666667,0.533333333,0.066666667,0.4,0,0,0.357142857,0.142857143,0.357142857,0.142857143,0,33,43,23,1,FALSE
128,Old,119,4,NoInstruction,100,26,74,0.26,25,25,25,25,6,10,8,2,0.24,0.4,0.32,0.08,0.44,0.72,0.52,0.72,18,1,3,3,18,6,0,1,16,3,3,3,8,9,0,8,11,18,13,18,14,7,12,7,11,0,0,0,3,2,1,0,0,4,1,0,10,0,1,4,0,1,1,1,0.785714286,0,0,0,0.214285714,0.285714286,0.142857143,0,0,0.571428571,0.083333333,0,0.833333333,0,0.083333333,0.571428571,0,0.142857143,0.142857143,0.142857143,60,19,6,15,FALSE
137,Old,120,4,NoInstruction,100,13,87,0.13,25,25,25,25,2,2,4,5,0.08,0.08,0.16,0.2,0.56,0.52,0.64,0.64,4,21,0,0,3,22,0,0,6,19,0,0,5,19,0,1,14,13,16,16,11,12,9,9,7,0,2,0,2,6,1,3,0,2,4,1,4,0,0,4,0,3,1,1,0.636363636,0,0.181818182,0,0.181818182,0.5,0.083333333,0.25,0,0.166666667,0.444444444,0.111111111,0.444444444,0,0,0.444444444,0,0.333333333,0.111111111,0.111111111,18,81,0,1,FALSE
111,Old,121,4,NoInstruction,100,8,92,0.08,25,25,25,25,0,4,2,2,0,0.16,0.08,0.08,0.4,0.6,0.48,0.52,7,18,0,0,4,21,0,0,3,22,0,0,5,19,1,0,10,15,12,13,15,10,13,12,12,1,2,0,0,5,1,4,0,0,6,1,6,0,0,2,0,5,3,2,0.8,0.066666667,0.133333333,0,0,0.5,0.1,0.4,0,0,0.461538462,0.076923077,0.461538462,0,0,0.166666667,0,0.416666667,0.25,0.166666667,19,80,1,0,FALSE
120,Old,122,4,NoInstruction,100,37,63,0.37,25,25,25,25,8,14,10,5,0.32,0.56,0.4,0.2,0.8,0.84,0.8,0.8,8,6,2,9,18,2,2,3,14,8,0,3,6,13,2,4,20,21,20,20,5,4,5,5,3,0,2,0,0,0,0,4,0,0,4,0,0,0,1,3,0,1,0,1,0.6,0,0.4,0,0,0,0,1,0,0,0.8,0,0,0,0.2,0.6,0,0.2,0,0.2,46,29,6,19,FALSE
129,Old,123,4,NoInstruction,100,35,65,0.35,25,25,25,25,11,8,13,3,0.44,0.32,0.52,0.12,0.88,0.64,0.88,0.68,15,3,4,3,12,8,5,0,14,9,1,1,9,9,3,4,22,16,22,17,3,9,3,8,0,0,2,0,1,4,0,1,0,4,1,0,0,0,2,0,0,1,1,6,0,0,0.666666667,0,0.333333333,0.444444444,0,0.111111111,0,0.444444444,0.333333333,0,0,0,0.666666667,0,0,0.125,0.125,0.75,50,29,13,8,FALSE
138,Old,124,4,NoInstruction,100,15,85,0.15,25,25,25,25,3,6,2,4,0.12,0.24,0.08,0.16,0.88,0.96,0.88,0.8,4,8,6,7,5,11,6,3,2,14,3,6,3,11,5,6,22,24,22,20,3,1,3,5,1,0,0,0,2,1,0,0,0,0,0,0,3,0,0,3,0,2,0,0,0.333333333,0,0,0,0.666666667,1,0,0,0,0,0,0,1,0,0,0.6,0,0.4,0,0,14,44,20,22,FALSE
112,Old,125,4,NoInstruction,100,21,79,0.21,25,25,25,25,1,8,5,7,0.04,0.32,0.2,0.28,0.6,0.84,0.6,0.64,4,16,1,4,7,13,0,5,5,11,4,5,6,10,3,6,15,21,15,16,10,4,10,9,9,0,1,0,0,2,1,1,0,0,5,1,4,0,0,4,0,5,0,0,0.9,0,0.1,0,0,0.5,0.25,0.25,0,0,0.5,0.1,0.4,0,0,0.444444444,0,0.555555556,0,0,22,50,8,20,FALSE
121,Old,126,4,NoInstruction,100,22,78,0.22,25,25,25,25,3,9,5,5,0.12,0.36,0.2,0.2,0.36,0.68,0.48,0.76,14,5,0,6,15,4,0,6,12,4,0,9,11,3,0,11,9,17,12,19,16,8,13,6,14,0,2,0,0,3,1,4,0,0,4,0,9,0,0,3,0,2,1,0,0.875,0,0.125,0,0,0.375,0.125,0.5,0,0,0.307692308,0,0.692307692,0,0,0.5,0,0.333333333,0.166666667,0,52,16,0,32,FALSE
130,Old,127,4,NoInstruction,100,21,79,0.21,25,25,25,25,8,5,6,2,0.32,0.2,0.24,0.08,0.52,0.52,0.6,0.52,16,6,0,3,8,15,2,0,12,10,0,3,6,13,1,5,13,13,15,13,12,12,10,12,9,0,3,0,0,2,2,4,0,4,4,0,5,0,1,5,0,4,0,3,0.75,0,0.25,0,0,0.166666667,0.166666667,0.333333333,0,0.333333333,0.4,0,0.5,0,0.1,0.416666667,0,0.333333333,0,0.25,42,44,3,11,FALSE
139,Old,128,4,NoInstruction,100,48,52,0.48,25,25,25,25,10,12,16,10,0.4,0.48,0.64,0.4,0.84,0.8,0.8,0.88,21,3,0,1,17,7,0,1,21,4,0,0,17,3,2,3,21,20,20,22,4,5,5,3,3,0,1,0,0,2,0,1,0,2,2,0,1,0,2,2,0,1,0,0,0.75,0,0.25,0,0,0.4,0,0.2,0,0.4,0.4,0,0.2,0,0.4,0.666666667,0,0.333333333,0,0,76,17,2,5,FALSE
113,Old,129,4,NoInstruction,100,46,54,0.46,25,25,25,25,8,17,7,14,0.32,0.68,0.28,0.56,0.84,0.88,0.84,0.84,11,2,1,11,18,4,0,3,10,3,0,12,16,3,0,6,21,22,21,21,4,3,4,4,4,0,0,0,0,2,0,1,0,0,3,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0.666666667,0,0.333333333,0,0,0.75,0,0.25,0,0,0.5,0,0.5,0,0,55,12,1,32,FALSE
122,Old,130,4,NoInstruction,100,26,74,0.26,25,25,25,25,5,9,7,5,0.2,0.36,0.28,0.2,0.72,0.76,0.8,0.68,9,12,1,3,16,6,0,3,16,7,0,2,14,8,1,2,18,19,20,17,7,6,5,8,5,0,1,0,1,4,0,2,0,0,4,0,1,0,0,4,2,1,0,1,0.714285714,0,0.142857143,0,0.142857143,0.666666667,0,0.333333333,0,0,0.8,0,0.2,0,0,0.5,0.25,0.125,0,0.125,55,33,2,10,FALSE
131,Old,131,4,NoInstruction,100,27,73,0.27,25,25,25,25,9,5,7,6,0.36,0.2,0.28,0.24,0.8,0.52,0.68,0.52,15,9,0,1,8,15,1,1,10,14,0,1,7,17,0,1,20,13,17,13,5,12,8,12,4,0,1,0,0,6,1,5,0,0,2,0,4,0,2,5,1,4,1,1,0.8,0,0.2,0,0,0.5,0.083333333,0.416666667,0,0,0.25,0,0.5,0,0.25,0.416666667,0.083333333,0.333333333,0.083333333,0.083333333,40,55,1,4,FALSE
140,Old,132,4,NoInstruction,100,21,79,0.21,25,25,25,25,4,4,8,5,0.16,0.16,0.32,0.2,0.52,0.76,0.6,0.72,16,6,0,3,10,5,1,9,20,4,0,1,11,3,0,11,13,19,15,18,12,6,10,7,7,0,2,0,3,4,1,0,0,1,3,0,6,0,1,6,0,0,0,1,0.583333333,0,0.166666667,0,0.25,0.666666667,0.166666667,0,0,0.166666667,0.3,0,0.6,0,0.1,0.857142857,0,0,0,0.142857143,57,18,1,24,FALSE
